"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.596861080E0,3.581197560E-2,-5.925392732E-2,-1.985312067E-2
3.606860813E0,3.703370690E-2,-6.047565863E-2,-1.557706390E-2
3.616860813E0,3.459024429E-2,-6.047565863E-2,-1.007927675E-2
3.626860813E0,2.787072770E-2,-6.169738993E-2,-3.359758761E-3
3.636860813E0,2.359467000E-2,-6.230825558E-2,-9.162978968E-4
3.646860813E0,1.748601720E-2,-6.230825558E-2,6.414085161E-3
3.656860813E0,1.076649968E-2,-6.291911751E-2,8.857546374E-3
3.666860813E0,8.323038928E-3,-6.780604273E-2,1.130100712E-2
3.676860813E0,8.323038928E-3,-7.330382615E-2,1.252273750E-2
3.686860813E0,1.137736533E-2,-7.635815442E-2,8.857546374E-3
3.696861113E0,1.320996135E-2,-7.452555746E-2,9.468411095E-3
3.706861113E0,1.382082608E-2,-7.269296050E-2,7.635815535E-3
3.716861113E0,1.626428775E-2,-6.780604273E-2,5.192354787E-3
3.726861113E0,2.054034360E-2,-5.925392732E-2,-3.054326226E-4
3.736860713E0,2.481640130E-2,-5.497787148E-2,-4.581489135E-3
3.746860446E0,2.787072770E-2,-5.192354694E-2,-5.803219974E-3
3.756860446E0,3.214678168E-2,-4.764748737E-2,-8.246680722E-3
3.766860446E0,3.642284125E-2,-4.520402849E-2,-1.435533352E-2
