"Time (s)","Pressure (hPa)"
9.681849685E1,1.017878418E3
9.691849685E1,1.017878418E3
9.701849678E1,1.017890869E3
9.711849678E1,1.017907715E3
9.721849678E1,1.017907715E3
9.731849678E1,1.017911377E3
9.741849678E1,1.017924561E3
9.751849678E1,1.017924561E3
9.761849678E1,1.017915283E3
9.771849678E1,1.017923340E3
9.781849678E1,1.017923340E3
9.791849678E1,1.017916992E3
9.801849678E1,1.017899170E3
9.811849678E1,1.017899170E3
9.821849678E1,1.017892822E3
9.831849678E1,1.017876221E3
9.841849678E1,1.017876221E3
9.851849678E1,1.017885742E3
9.861849678E1,1.017888184E3
9.871849678E1,1.017888184E3
9.881849678E1,1.017896973E3
9.891849678E1,1.017909912E3
9.901849678E1,1.017909912E3
9.911849678E1,1.017944092E3
9.921849678E1,1.017935547E3
9.931849678E1,1.017927246E3
9.941849678E1,1.017918945E3
9.951849678E1,1.017931152E3
9.961849678E1,1.017928223E3
9.971849678E1,1.017914307E3
9.981849678E1,1.017897949E3
9.991849678E1,1.017920410E3
1.000184968E2,1.017919434E3
1.001184968E2,1.017898926E3
1.002184968E2,1.017906982E3
1.003184968E2,1.017918945E3
1.004184968E2,1.017907227E3
1.005184968E2,1.017899414E3
1.006184968E2,1.017903564E3
1.007184968E2,1.017882568E3
1.008184968E2,1.017880859E3
1.009184968E2,1.017867920E3
1.010184968E2,1.017897705E3
1.011184968E2,1.017889404E3
1.012184968E2,1.017875732E3
1.013184968E2,1.017861328E3
1.014184968E2,1.017855713E3
1.015184968E2,1.017868408E3
1.016184968E2,1.017876221E3
1.017184968E2,1.017880859E3
1.018184968E2,1.017880371E3
1.019184968E2,1.017908447E3
1.020184968E2,1.017907959E3
1.021184968E2,1.017912598E3
1.022184968E2,1.017907471E3
1.023184968E2,1.017907471E3
1.024184968E2,1.017911133E3
1.025184968E2,1.017881104E3
1.026184968E2,1.017881104E3
1.027184968E2,1.017880127E3
1.028184968E2,1.017913818E3
1.029184968E2,1.017913818E3
1.030184968E2,1.017890625E3
1.031184968E2,1.017882324E3
1.032184968E2,1.017882324E3
1.033184968E2,1.017876709E3
1.034184968E2,1.017880127E3
1.035184968E2,1.017880127E3
1.036184968E2,1.017868164E3
1.037184968E2,1.017875977E3
1.038184968E2,1.017875977E3
1.039184968E2,1.017865479E3
1.040184968E2,1.017871338E3
1.041184968E2,1.017876465E3
1.042184968E2,1.017867432E3
1.043184968E2,1.017860107E3
1.044184968E2,1.017874512E3
1.045184968E2,1.017878174E3
1.046184968E2,1.017893799E3
1.047184968E2,1.017881104E3
1.048184968E2,1.017885742E3
1.049184968E2,1.017869873E3
1.050184968E2,1.017870605E3
1.051184968E2,1.017877686E3
1.052184968E2,1.017858154E3
1.053184968E2,1.017868652E3
1.054184968E2,1.017852783E3
1.055184968E2,1.017854248E3
1.056184968E2,1.017880371E3
1.057184968E2,1.017877441E3
1.058184968E2,1.017873291E3
1.059184968E2,1.017868164E3
1.060184968E2,1.017880615E3
1.061184968E2,1.017878662E3
1.062184968E2,1.017886475E3
1.063184968E2,1.017903564E3
1.064184968E2,1.017888428E3
1.065184968E2,1.017897949E3
1.066184968E2,1.017892578E3
1.067184968E2,1.017867188E3
1.068184968E2,1.017869385E3
1.069184968E2,1.017877686E3
1.070184968E2,1.017901611E3
1.071184968E2,1.017907227E3
1.072184968E2,1.017913330E3
1.073184968E2,1.017932373E3
1.074184968E2,1.017932373E3
1.075184968E2,1.017962158E3
1.076184968E2,1.017952637E3
1.077184968E2,1.017952637E3
1.078184968E2,1.017947998E3
1.079184968E2,1.017913330E3
1.080184968E2,1.017913330E3
1.081184968E2,1.017939209E3
1.082184968E2,1.017956787E3
1.083184968E2,1.017956787E3
1.084184968E2,1.017956055E3
1.085184968E2,1.017961914E3
1.086184968E2,1.017961914E3
1.087184968E2,1.017995850E3
1.088184968E2,1.017980469E3
1.089184968E2,1.017980469E3
1.090184968E2,1.017985840E3
1.091184968E2,1.017984375E3
1.092184968E2,1.017984375E3
1.093184968E2,1.017993408E3
1.094184968E2,1.017990967E3
1.095184968E2,1.017992188E3
1.096184968E2,1.017990479E3
1.097184968E2,1.017974609E3
1.098184968E2,1.017963135E3
1.099184968E2,1.017983643E3
1.100184968E2,1.017962891E3
1.101184968E2,1.017971680E3
1.102184968E2,1.017979736E3
1.103184968E2,1.017968018E3
1.104184968E2,1.017965576E3
1.105184968E2,1.017961182E3
1.106184968E2,1.017958984E3
1.107184968E2,1.017969971E3
1.108184968E2,1.017949951E3
1.109184968E2,1.017942871E3
1.110184968E2,1.017929688E3
1.111184968E2,1.017938965E3
1.112184968E2,1.017942383E3
1.113184968E2,1.017946533E3
1.114184968E2,1.017935547E3
1.115184968E2,1.017933105E3
1.116184968E2,1.017945557E3
1.117184968E2,1.017939697E3
1.118184968E2,1.017962646E3
1.119184968E2,1.017954102E3
1.120184968E2,1.017935303E3
1.121184968E2,1.017934082E3
1.122184968E2,1.017933105E3
1.123184968E2,1.017921631E3
1.124184968E2,1.017911377E3
1.125184968E2,1.017911377E3
1.126184968E2,1.017942627E3
1.127184968E2,1.017947266E3
1.128184968E2,1.017947266E3
1.129184968E2,1.017926025E3
1.130184968E2,1.017943359E3
1.131184968E2,1.017943359E3
1.132184968E2,1.017952148E3
1.133184968E2,1.017942383E3
1.134184968E2,1.017942383E3
1.135184968E2,1.017934326E3
1.136184968E2,1.017935791E3
1.137184968E2,1.017935791E3
1.138184968E2,1.017959473E3
1.139184968E2,1.017933105E3
1.140184968E2,1.017933105E3
1.141184968E2,1.017906982E3
1.142184968E2,1.017922852E3
1.143184968E2,1.017922852E3
1.144184968E2,1.017888184E3
1.145184968E2,1.017900879E3
1.146184968E2,1.017896484E3
1.147184968E2,1.017900391E3
1.148184968E2,1.017910889E3
1.149184968E2,1.017902588E3
1.150184968E2,1.017895264E3
1.151184968E2,1.017882080E3
1.152184968E2,1.017894287E3
1.153184968E2,1.017890137E3
1.154184968E2,1.017882080E3
1.155184968E2,1.017889648E3
1.156184968E2,1.017875000E3
1.157184968E2,1.017895996E3
1.158184968E2,1.017904785E3
1.159184968E2,1.017911621E3
1.160184968E2,1.017891113E3
1.161184968E2,1.017894775E3
1.162184968E2,1.017885010E3
1.163184968E2,1.017889404E3
1.164184968E2,1.017874756E3
1.165184968E2,1.017863525E3
1.166184968E2,1.017869141E3
1.167184968E2,1.017886475E3
1.168184968E2,1.017895508E3
1.169184968E2,1.017897461E3
1.170184968E2,1.017899902E3
