"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.711053495E0,1.319999993E-1,-9.645000458E0,-1.909500062E-1
2.721138427E0,9.105000645E-2,-9.631050110E0,-2.080500126E-1
2.731223369E0,7.695000619E-2,-9.628050804E0,-2.440500110E-1
2.741308217E0,7.005000114E-2,-9.621000290E0,-3.210000098E-1
2.751392924E0,-1.800000109E-2,-9.589950562E0,-3.780000210E-1
2.761477860E0,-9.705000371E-2,-9.559050560E0,-3.640500307E-1
2.771562759E0,-8.505000174E-2,-9.505950928E0,-2.509500086E-1
2.781647592E0,-4.395000264E-2,-9.468000412E0,-1.669500023E-1
2.791732518E0,-5.400000140E-2,-9.528000832E0,-2.299500108E-1
2.801817446E0,-7.995000482E-2,-9.637950897E0,-3.400500119E-1
2.811902369E0,-1.039500013E-1,-9.781949997E0,-3.949500322E-1
2.821987292E0,-2.140500098E-1,-9.834000587E0,-4.240500331E-1
2.832071910E0,-2.530499995E-1,-9.882000923E0,-4.039500058E-1
2.842156816E0,-2.070000172E-1,-9.895950317E0,-3.490500152E-1
2.852241739E0,-1.710000038E-1,-9.882000923E0,-2.800500095E-1
2.862326658E0,-1.230000034E-1,-9.856050491E0,-2.800500095E-1
2.872411381E0,-4.395000264E-2,-9.868050575E0,-3.420000076E-1
2.882496302E0,-1.095000096E-2,-9.910950661E0,-4.360500276E-1
2.892581137E0,-5.400000140E-2,-9.942000389E0,-4.909500182E-1
2.902666044E0,-2.070000172E-1,-9.907950401E0,-5.239500403E-1
2.912750738E0,-2.760000229E-1,-9.838950157E0,-4.830000103E-1
2.922835659E0,-2.790000141E-1,-9.760050774E0,-4.549500346E-1
2.932920572E0,-2.550000250E-1,-9.717000008E0,-4.360500276E-1
2.943005406E0,-2.620500028E-1,-9.691050529E0,-4.309500158E-1
2.953090099E0,-2.530499995E-1,-9.664050102E0,-4.039500058E-1
2.963175048E0,-1.500000060E-1,-9.609000206E0,-3.640500307E-1
2.973259976E0,-5.595000088E-2,-9.559050560E0,-2.970000207E-1
2.983344824E0,-4.200000316E-2,-9.559050560E0,-2.320500165E-1
2.993429760E0,1.905000024E-2,-9.585000038E0,-1.669500023E-1
3.003514668E0,7.005000114E-2,-9.652050018E0,-1.669500023E-1
3.013599358E0,1.249500066E-1,-9.697950363E0,-2.130000144E-1
3.023684279E0,1.819500029E-1,-9.766950607E0,-2.749500275E-1
3.033769212E0,2.400000095E-1,-9.853050232E0,-3.589500189E-1
3.043854055E0,3.349500299E-1,-9.922950745E0,-3.829500079E-1
3.053938967E0,3.829500079E-1,-9.937050819E0,-4.039500058E-1
3.064023646E0,4.600500166E-1,-9.967950821E0,-4.330500066E-1
3.074108562E0,4.530000091E-1,-9.961050034E0,-4.600500166E-1
3.084193486E0,4.099500179E-1,-9.955950737E0,-4.620000124E-1
3.094278320E0,3.760500252E-1,-9.978000641E0,-4.620000124E-1
3.104363012E0,3.090000153E-1,-9.928050041E0,-4.069500268E-1
3.114447923E0,2.160000056E-1,-9.873000145E0,-3.490500152E-1
3.124532776E0,1.609500051E-1,-9.858000755E0,-3.040500283E-1
3.134617697E0,1.129500046E-1,-9.874950409E0,-2.899500132E-1
3.144702601E0,5.805000290E-2,-9.813000679E0,-2.869500220E-1
3.154787291E0,2.205000073E-2,-9.760050774E0,-3.109500110E-1
3.164872120E0,1.905000024E-2,-9.730950356E0,-3.400500119E-1
3.174957048E0,-5.100000277E-2,-9.657000542E0,-3.139500022E-1
3.185041985E0,-1.540500075E-1,-9.552000046E0,-2.800500095E-1
3.195126680E0,-1.759500057E-1,-9.493950844E0,-1.990500093E-1
3.205211606E0,-1.399500072E-1,-9.508950233E0,-1.939500123E-1
3.215296463E0,-1.500000060E-1,-9.540000916E0,-2.580000162E-1
3.225381413E0,-1.110000089E-1,-9.592050552E0,-3.109500110E-1
3.235466112E0,-6.300000101E-2,-9.664050102E0,-3.829500079E-1
3.245551048E0,-3.000000119E-2,-9.718950272E0,-4.570500255E-1
3.255635901E0,-1.095000096E-2,-9.796050072E0,-5.149500370E-1
3.265720832E0,1.005000062E-2,-9.870000839E0,-5.460000038E-1
3.275805521E0,7.050000131E-3,-9.918000221E0,-4.999500215E-1
3.285890442E0,2.700000070E-2,-9.930000305E0,-4.620000124E-1
3.295975285E0,5.505000427E-2,-9.898950577E0,-4.429500103E-1
3.306060206E0,6.495000422E-2,-9.858000755E0,-4.740000367E-1
3.316144921E0,8.400000632E-2,-9.765000343E0,-5.530500412E-1
3.326229856E0,5.295000225E-2,-9.705000877E0,-5.860500336E-1
3.336314803E0,-4.695000127E-2,-9.661950111E0,-5.910000205E-1
3.346399651E0,-1.399500072E-1,-9.604050636E0,-6.100500226E-1
3.356484353E0,-1.639500111E-1,-9.541950226E0,-5.719500184E-1
3.366569188E0,-1.639500111E-1,-9.499050140E0,-4.980000257E-1
3.376654111E0,-2.310000062E-1,-9.484950066E0,-4.140000343E-1
3.386739024E0,-2.260500044E-1,-9.529950142E0,-4.039500058E-1
3.396823709E0,-2.119500041E-1,-9.568050385E0,-4.450500309E-1
3.406908562E0,-1.639500111E-1,-9.631050110E0,-5.050500035E-1
3.416993485E0,-1.350000054E-1,-9.679050446E0,-5.509500504E-1
3.427078394E0,-1.350000054E-1,-9.748050690E0,-5.290500522E-1
3.437163083E0,-2.050500065E-1,-9.820050240E0,-5.290500522E-1
3.447247922E0,-2.670000196E-1,-9.837000847E0,-5.460000038E-1
3.457332850E0,4.950000439E-3,-1.005405045E1,-5.410500169E-1
3.467417778E0,-1.330500096E-1,-9.846000671E0,-4.309500158E-1
3.477502463E0,2.400000021E-2,-9.837000847E0,-5.359500051E-1
3.487587384E0,6.495000422E-2,-9.975000381E0,-5.959500074E-1
3.497672218E0,3.105000220E-2,-9.975000381E0,-4.690500200E-1
3.507757139E0,-7.950000465E-3,-9.865050316E0,-3.970500231E-1
3.517841819E0,-4.695000127E-2,-9.748050690E0,-4.549500346E-1
3.527926735E0,-1.039500013E-1,-9.709950447E0,-4.860000312E-1
3.538011584E0,-1.690500081E-1,-9.624000549E0,-4.570500255E-1
3.548096505E0,-1.230000034E-1,-9.469950676E0,-4.600500166E-1
3.558181194E0,-3.705000132E-2,-9.484950066E0,-3.520500064E-1
3.568266053E0,1.200000010E-2,-9.439050674E0,-1.890000105E-1
3.578350986E0,1.489500105E-1,-9.396000862E0,-1.000500023E-1
3.588435681E0,2.370000184E-1,-9.525000572E0,-1.200000048E-1
3.598520606E0,2.520000041E-1,-9.688050270E0,-2.539499998E-1
3.608605514E0,3.430500031E-1,-9.798000336E0,-3.520500064E-1
3.618690141E0,2.539499998E-1,-9.898950577E0,-3.349500299E-1
3.628775057E0,1.540500075E-1,-9.970950127E0,-3.090000153E-1
3.638859980E0,1.969500035E-1,-1.000905037E1,-2.939999998E-1
3.648944829E0,3.280500174E-1,-1.003500080E1,-2.779500186E-1
3.659029750E0,4.050000310E-1,-1.003800011E1,-1.789500117E-1
3.669114444E0,3.550500274E-1,-9.975000381E0,-1.099500060E-1
3.679199365E0,3.000000119E-1,-9.913050652E0,-8.400000632E-2
3.689284198E0,2.490000129E-1,-9.882000923E0,-1.905000024E-2
3.699369119E0,1.609500051E-1,-9.889050484E0,1.395000052E-2
3.709453732E0,1.060500070E-1,-9.913050652E0,-9.000000544E-3
3.719538653E0,1.390500069E-1,-9.946950912E0,-1.030500084E-1
3.729623586E0,1.699500084E-1,-9.943950653E0,-2.460000068E-1
3.739708509E0,2.040000111E-1,-9.846000671E0,-3.139500022E-1
