"Time (s)","Pressure (hPa)"
5.961536335E1,1.017871582E3
5.971536335E1,1.017871582E3
5.981536335E1,1.017867432E3
5.991536308E1,1.017906494E3
6.001536308E1,1.017906494E3
6.011536308E1,1.017921143E3
6.021536335E1,1.017918701E3
6.031536335E1,1.017918701E3
6.041536335E1,1.017917236E3
6.051536335E1,1.017918457E3
6.061536335E1,1.017918457E3
6.071536335E1,1.017890869E3
6.081536335E1,1.017873779E3
6.091536335E1,1.017896484E3
6.101536335E1,1.017892822E3
6.111536335E1,1.017857178E3
6.121536335E1,1.017863037E3
6.131536335E1,1.017865723E3
6.141536335E1,1.017880127E3
6.151536335E1,1.017849121E3
6.161536335E1,1.017808350E3
6.171536335E1,1.017837402E3
6.181536335E1,1.017852051E3
6.191536335E1,1.017865479E3
6.201536335E1,1.017864014E3
6.211536335E1,1.017860107E3
6.221536361E1,1.017892578E3
6.231536361E1,1.017880859E3
6.241536361E1,1.017874756E3
6.251536361E1,1.017884766E3
6.261536361E1,1.017872803E3
6.271536361E1,1.017845947E3
6.281536361E1,1.017862549E3
6.291536361E1,1.017874268E3
6.301536361E1,1.017840576E3
6.311536361E1,1.017845459E3
6.321536335E1,1.017836426E3
6.331536334E1,1.017839355E3
6.341536334E1,1.017825195E3
6.351536335E1,1.017817139E3
6.361536335E1,1.017806885E3
6.371536335E1,1.017801025E3
6.381536334E1,1.017794922E3
6.391536334E1,1.017780762E3
6.401536361E1,1.017818848E3
6.411536361E1,1.017828613E3
6.421536361E1,1.017828613E3
6.431536361E1,1.017818359E3
6.441536361E1,1.017788574E3
6.451536361E1,1.017788574E3
6.461536361E1,1.017799316E3
6.471536361E1,1.017773438E3
6.481536361E1,1.017773438E3
6.491536391E1,1.017761719E3
6.501536391E1,1.017777344E3
6.511536391E1,1.017777344E3
6.521536364E1,1.017757080E3
6.531536364E1,1.017785156E3
6.541536364E1,1.017785156E3
6.551536364E1,1.017785645E3
6.561536364E1,1.017801270E3
6.571536364E1,1.017801270E3
6.581536364E1,1.017818115E3
6.591536364E1,1.017812256E3
6.601536364E1,1.017812256E3
6.611536364E1,1.017802734E3
6.621536364E1,1.017803711E3
6.631536364E1,1.017821533E3
6.641536364E1,1.017827148E3
6.651536364E1,1.017818848E3
6.661536364E1,1.017802979E3
6.671536391E1,1.017808105E3
6.681536391E1,1.017847656E3
6.691536421E1,1.017831787E3
6.701536394E1,1.017819824E3
6.711536394E1,1.017815430E3
6.721536394E1,1.017830566E3
6.731536394E1,1.017840088E3
6.741536394E1,1.017845947E3
6.751536394E1,1.017854980E3
6.761536394E1,1.017823486E3
6.771536394E1,1.017818115E3
6.781536394E1,1.017822998E3
6.791536364E1,1.017825684E3
6.801536364E1,1.017828369E3
6.811536364E1,1.017838623E3
6.821536364E1,1.017827881E3
6.831536364E1,1.017848877E3
6.841536364E1,1.017851318E3
6.851536364E1,1.017822754E3
6.861536364E1,1.017835449E3
