,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,bar_pressure,labelcycling,labelmetro,labeltram,labelwalking,labelbus,person,session
2026-06-14 13:16:19.554542991,0.047071405340871376,0.057164181973079715,0.06628001611404313,0.0005003011041547272,0.0013352261667525392,-0.0008176934701805731,1018.5752716000001,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:19.804542991,0.07034664888676859,0.05395928939840743,0.03754940912229482,-0.0009547916633879456,0.0020050144300516495,0.0012990552596394147,1018.549347,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:20.054542991,0.06319429940548293,0.009785354496487956,0.0793542154068152,-0.0012982021827722455,0.00021145957314393357,0.002232634938391381,1018.5174256,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:20.304542991,0.04984177399783424,-0.012682600743738136,0.06114841610841724,0.0027536150907810277,0.0014038297983501465,-0.001316232495420628,1018.4855042,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:20.554542991,0.0908117781603579,0.043822242455036846,0.07992918526686267,0.0011081254164741427,0.0021501813710925314,-0.0016232259047797013,1018.4535827999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:20.804542991,0.09405820264299582,0.024350298652852813,0.06495831143560722,-0.004153710683918372,-0.0018984130786434408,0.0013332702568673851,1018.4216614,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:21.054542991,0.05604162607624854,-0.03849727905433884,0.02890450576979113,-0.0003181387639692938,-0.003134767314183228,0.00022529406789665367,1018.38974,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:21.304542991,0.0878723613085162,-0.0033724982093532065,0.06139000970472766,0.0017615236722889989,-0.0024955892308407817,-0.0025828423322588586,1018.3626174999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:21.554542991,0.11220683663465066,-0.004071520546512655,0.056778067420773466,-0.0014111954995255918,-0.00280647427488468,-0.0025037753216994437,1018.3354949999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:21.804542991,0.11360805333971219,0.005383078335712153,0.08243865612894796,-0.0004063245362265146,-0.00024641533982457803,-0.0014191444925261134,1018.3083724999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:22.054542991,0.1291641581456261,0.028099576789588628,0.055488992248386805,-0.002165259906940607,-0.0006864888540972859,0.0003753476230632705,1018.28125,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:22.304542991,0.10265351382831762,-0.048970722517205724,0.009275479694213835,-0.0020177842311704707,-0.0015315935352740624,0.0017385841457372997,1018.2541275,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:22.554542991,0.11912817498108427,-0.033037503706711414,0.11557851754810193,0.002267580478040537,0.0018045553974409703,0.000796047580044498,1018.227005,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:22.804542991,0.15328975257230013,-0.006207931164510928,0.06467377465069962,-0.0006728448842985418,3.80513139453058e-05,0.0020930016574628807,1018.1892394,0,1,0,0,0,giray,giray_metro_s1
